commune,nom_rue,gestionaire,id_cycle,id_tronc,cumuld,cumulf,etat_revet,circulation,sdc_catego,type_renov,type_revet,typo_piste,largeur_am,note_globale,note_classe,vlm_indice,vlm_classe,deformation,note_arrachement,note_bordure_endommagee,note_deformation,note_faiencage,note_fissure_avec_deformation,note_fissure_longitudinale,note_fissure_longitudinale_grave,note_fissure_transversale,note_fissure_transversale_grave,note_joint,note_joint_avec_deformation,note_nid_de_poule
PLAISIR,ROUTE DES DEUX PLATEAUX - D30,SQY - SEVOA,CYCL_1563,CYCL_1563_1,0,100,,BIDIRECTIONNELLE,STRUCTURANT,,Non renseigné,VOIE VERTE BIDIRECTIONNELLE,0.0,10.0,Bon,9.0,Bon,False,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
PLAISIR,ROUTE DES DEUX PLATEAUX - D30,SQY - SEVOA,CYCL_1563,CYCL_1563_1,100,200,,BIDIRECTIONNELLE,STRUCTURANT,,Non renseigné,VOIE VERTE BIDIRECTIONNELLE,0.0,10.0,Bon,10.0,Bon,False,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
PLAISIR,ROUTE DES DEUX PLATEAUX - D30,SQY - SEVOA,CYCL_1563,CYCL_1563_1,200,300,,BIDIRECTIONNELLE,STRUCTURANT,,Non renseigné,VOIE VERTE BIDIRECTIONNELLE,0.0,10.0,Bon,10.0,Bon,False,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
PLAISIR,ROUTE DES DEUX PLATEAUX - D30,SQY - SEVOA,CYCL_1563,CYCL_1563_1,300,400,,BIDIRECTIONNELLE,STRUCTURANT,,Non renseigné,VOIE VERTE BIDIRECTIONNELLE,0.0,10.0,Bon,9.0,Bon,False,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
PLAISIR,ROUTE DES DEUX PLATEAUX - D30,SQY - SEVOA,CYCL_1563,CYCL_1563_1,400,500,,BIDIRECTIONNELLE,STRUCTURANT,,Non renseigné,VOIE VERTE BIDIRECTIONNELLE,0.0,10.0,Bon,10.0,Bon,False,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
PLAISIR,ROUTE DES DEUX PLATEAUX - D30,SQY - SEVOA,CYCL_1563,CYCL_1563_1,500,600,,BIDIRECTIONNELLE,STRUCTURANT,,Non renseigné,VOIE VERTE BIDIRECTIONNELLE,0.0,10.0,Bon,10.0,Bon,False,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
PLAISIR,ROUTE DES DEUX PLATEAUX - D30,SQY - SEVOA,CYCL_1563,CYCL_1563_1,600,700,,BIDIRECTIONNELLE,STRUCTURANT,,Non renseigné,VOIE VERTE BIDIRECTIONNELLE,0.0,10.0,Bon,9.0,Bon,False,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
PLAISIR,ROUTE DES DEUX PLATEAUX - D30,SQY - SEVOA,CYCL_1563,CYCL_1563_1,700,800,,BIDIRECTIONNELLE,STRUCTURANT,,Non renseigné,VOIE VERTE BIDIRECTIONNELLE,0.0,10.0,Bon,9.0,Bon,False,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
PLAISIR,ROUTE DES DEUX PLATEAUX - D30,SQY - SEVOA,CYCL_1563,CYCL_1563_1,800,827,,BIDIRECTIONNELLE,STRUCTURANT,,Non renseigné,VOIE VERTE BIDIRECTIONNELLE,0.0,10.0,Bon,9.0,Bon,False,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
TRAPPES,KING (AVENUE MARTIN LUTHER),SQY - SEVOA,CYCL_1571,CYCL_1571_1,0,100,BON,BIDIRECTIONNELLE,STRUCTURANT,,Enrobé,PISTE BIDIRECTIONNELLE,3.5,10.0,Bon,10.0,Bon,False,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,9.0,10.0,10.0
TRAPPES,KING (AVENUE MARTIN LUTHER),SQY - SEVOA,CYCL_1571,CYCL_1571_1,100,149,BON,BIDIRECTIONNELLE,STRUCTURANT,,Enrobé,PISTE BIDIRECTIONNELLE,3.5,10.0,Bon,10.0,Bon,False,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
TRAPPES,TIMBAUD (AVENUE JEAN-PIERRE),SQY - SEVOA,CYCL_1577,CYCL_1577_1,0,100,BON,UNIDIRECTIONNELLE,SECONDAIRE,,Enrobé,PISTE UNIDIRECTIONNELLE,2.5,10.0,Bon,10.0,Bon,False,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
TRAPPES,TIMBAUD (AVENUE JEAN-PIERRE),SQY - SEVOA,CYCL_1577,CYCL_1577_1,100,156,BON,UNIDIRECTIONNELLE,SECONDAIRE,,Enrobé,PISTE UNIDIRECTIONNELLE,2.5,10.0,Bon,9.0,Bon,False,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
TRAPPES,AVENUE DU PASTEUR MARTIN LUTHER KING,SQY - SEVOA,CYCL_1580,CYCL_1580_1,0,100,BON,BIDIRECTIONNELLE,STRUCTURANT,,Enrobé,PISTE BIDIRECTIONNELLE,3.0,7.0,Moyen,9.0,Bon,True,10.0,10.0,8.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
TRAPPES,AVENUE DU PASTEUR MARTIN LUTHER KING,SQY - SEVOA,CYCL_1580,CYCL_1580_1,100,200,BON,BIDIRECTIONNELLE,STRUCTURANT,,Enrobé,PISTE BIDIRECTIONNELLE,3.0,6.0,Moyen,8.0,Bon,True,10.0,10.0,8.0,10.0,10.0,10.0,10.0,9.0,9.0,10.0,10.0,10.0
